category,video,Recall,Precision,Specificity,FPR,FNR,PWC,FMeasure
fod01,fod,0.749255928,0.876693516,0.998851691,0.001148309,0.250744072,0.383873277,0.807980613
,,,,,,,,
,,,,,,,,
,,,,,,,,
fod01,,0.749255928,0.876693516,0.998851691,0.001148309,0.250744072,0.383873277,0.807980613
,,,,,,,,
overall,,0.749255928,0.876693516,0.998851691,0.001148309,0.250744072,0.383873277,0.807980613
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Methods,Re,Pr,Sp,FPR,FNR,PWC,F1
,VIBE,0.869,0.091,0.905,0.095,0.131,9.492,0.165
,GMG,0.933,0.272,0.973,0.027,0.067,2.768,0.421
,GMM,0.876,0.134,0.938,0.062,0.124,6.244,0.232
,KNN,0.895,0.097,0.909,0.091,0.105,9.086,0.175
,LSBP,0.99,0.037,0.721,0.279,0.01,27.612,0.072
,CNN_subtract,0.818,0.453,0.989,0.011,0.182,1.261,0.583
,Yolocat,0.773,0.784,0.998,0.002,0.227,0.474,0.779
,WP,0.749,0.877,0.999,0.001,0.251,0.384,0.808
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Methods,Re,Pr,Sp,FPR,FNR,PWC,F1
,Visible,0.530 ,0.869 ,0.999 ,0.001 ,0.470 ,0.593 ,0.659 
,Infrared,0.666 ,0.848 ,0.999 ,0.001 ,0.334 ,0.488 ,0.746 
,Ours,0.749 ,0.877 ,0.999 ,0.001 ,0.251 ,0.384 ,0.808 
